#Frequency [GHz];a (LPL);a (LPH);a (MP);a (J-T);a (J-D);b (LPL);b (LPH);b (MP);b (J-T);b (J-D)
1.0;0.0000641;0.0000526;0.0000860;0.0000471;0.0000863;0.8910;0.9470;0.8530;0.8990;0.8430
1.5;0.0001450;0.0001140;0.0001930;0.0000931;0.0001950;0.9080;0.9760;0.8700;0.9670;0.8470
2.0;0.0002610;0.0001960;0.0003450;0.0001360;0.0003470;0.9300;1.0120;0.8910;1.0690;0.8510
2.5;0.0004160;0.0002960;0.0005460;0.0001630;0.0005480;0.9550;1.0540;0.9170;1.2020;0.8570
3.0;0.0006150;0.0004120;0.0007990;0.0002090;0.0008010;0.9840;1.1000;0.9470;1.3030;0.8640
3.5;0.0008610;0.0005420;0.0011100;0.0003080;0.0011100;1.0150;1.1500;0.9810;1.3510;0.8710
4.0;0.0011600;0.0006840;0.0014700;0.0005080;0.0014800;1.0490;1.2020;1.0160;1.3500;0.8790
5.0;0.0019400;0.0011200;0.0024100;0.0013800;0.0024000;1.1130;1.2740;1.0790;1.2880;0.8960
6.0;0.0030500;0.0019900;0.0037100;0.0030600;0.0035900;1.1580;1.2850;1.1240;1.2210;0.9130
7.0;0.0045500;0.0033600;0.0054400;0.0055700;0.0050700;1.1800;1.2700;1.1470;1.1670;0.9290
8.0;0.0064900;0.0053500;0.0076500;0.0090700;0.0068600;1.1870;1.2450;1.1560;1.1180;0.9430
9.0;0.0088800;0.0080300;0.0104000;0.0129000;0.0089600;1.1850;1.2160;1.1550;1.0910;0.9570
10.0;0.0117000;0.0114000;0.0136000;0.0169000;0.0114000;1.1780;1.1890;1.1500;1.0760;0.9680
11.0;0.0150000;0.0152000;0.0173000;0.0212000;0.0141000;1.1710;1.1670;1.1430;1.0650;0.9770
12.0;0.0186000;0.0196000;0.0215000;0.0262000;0.0172000;1.1620;1.1500;1.1360;1.0520;0.9850
15.0;0.0321000;0.0347000;0.0368000;0.0466000;0.0282000;1.1420;1.1190;1.1180;1.0100;1.0030
20.0;0.0626000;0.0709000;0.0719000;0.0938000;0.0530000;1.1190;1.0830;1.0970;0.9460;1.0200
25.0;0.1050000;0.1320000;0.1210000;0.1730000;0.0861000;1.0940;1.0290;1.0740;0.8840;1.0330
30.0;0.1620000;0.2260000;0.1860000;0.2740000;0.1280000;1.0610;0.9640;1.0430;0.8230;1.0440
35.0;0.2320000;0.3450000;0.2680000;0.3720000;0.1800000;1.0220;0.9070;1.0070;0.7810;1.0530
40.0;0.3130000;0.4670000;0.3620000;0.4510000;0.2410000;0.9810;0.8640;0.9720;0.7600;1.0580
